'lian'bang'xue'sheng'hui 联邦学生会
'xiao'chun 小春
'ma'li 玛丽
'ri'xiang 日向
'zhi'mei'zi 志美子
'ling'mei 铃美
'he'sha 和纱
'mei'mi 美祢
'wei'hua 未花
'ying'zi 樱子
'ling'sha 玲纱
'yi'hua 一花
'sheng'ya 圣娅
'jia'dai'zi 佳代子
'a'lu 阿露
'qian'xia 千夏
'ri'nai 日奈
'chun'zi 淳子
'ming'li 明里
'qing'nai 晴奈
'feng'xiang 枫香
'ya'zi 亚子
'lai'ming 濑名
'yi'lv'bo 伊吕波
'mu'yue 睦月
'yao'xiang 遥香
'zhu'li 朱莉
'qi'liang'liang 绮良良
'zhen'qin 真琴
'yi'chui 伊吹
'ming'li 明里
'yi'zhi 伊织
'gao'yue 皋月
'qian'qiu 千秋
'gong'zi 宫子
'mei'you 美游
'meng'hui 萌绘
'mei'xiao 美咲
'ri'he 日和
'ya'jin'zi 亚津子
'sha'zhi 纱织
'yuan'li 缘里
'lian'hua 莲华
'hai'xiang 海香
'guo'sui 果穗
'ju'geng 桔梗
'yue'yong 月咏
'fei'na 菲娜
'qian'shi 千世
'quan'nai 泉奈
'jing'zi 静子
'ruo'zao 若藻
'san'sen 三森
'sha'ling 纱绫
'you'shun 幼瞬
'xin'nai 心奈
'fei'xiao 妃咲
'liu'mei 瑠美
'li'qing 丽情
'qie'li'nuo 切里诺
'ma'li'na 玛丽娜
'he'xiang 和香
'shi'yu 时雨
'shi'li 实梨
'mei'lu 梅露
'hong'ye 红叶
'tong'nai 桐乃
'chui'xue 吹雪
'kang'na 康娜
'xue'nai 雪乃
'ni'ke 妮可
'hu'tao 胡桃
'yin'kui 音葵
'qing 晴
'xiang 响
'jin 堇
'lv 绿
'shi 时
'zi 梓
'xia 夏
'you 忧
'zhu 渚
'quan 泉
'hui 惠
'xia 霞
'xiao 咲
'man 满
'chun 椿
'feng 枫
'nan 南
'shun 瞬
'ba 巴
'wu'ming'ji'si 无名祭司
'fu'lei'na'pa'ti'si 弗雷纳帕提斯
'pu'lei'na'pa'te'si 普雷纳帕特斯
'pu'lei 普雷
'fu'lei 弗雷
'you'pian'zhe 诱骗者
'hui'chang 会长
'a'luo'na 阿罗娜
'pu'la'na 普拉娜
'qi'shen'lin 七神凛
'tao'ke 桃可
'tao'xiang 桃香
'hua'ye 花耶
'zhi'nai 志乃
'ke'yi 柯伊
'kai'yin 凯因
'kai'yi 凯伊
'pei'luo'luo 佩洛洛
'di'ka'er 笛卡尔
'di'xia'sheng'huo'zhe 地下生活者
'fu'lang'xi'si 弗朗西斯
'ge'er'kong'da 戈尔孔达
'yin'hua'you'fa 印花釉法
'bei'ti'li'cai 贝缇丽彩
'hei'fu 黑服
'ju'jiang 巨匠
'kong 空
'lin 凛
'kui 葵
'qing'hui'shi 青辉石
'xin'yong'dian 信用点
'ti'li 体力
'shen'ming'wen'zi'sui'pian 神明文字碎片
'zong'li'zhan'bi 总力战币
'da'jue'zhan'bi 大决战币
'zhan'tu'da'sai'bi 战术大赛币
'zhan'tu'kao'shi'bi 战术考试币
'jing'tong'zheng'shu 精通证书
'xuan'shang'tong'ji'bi 悬赏通缉币
'qi'dong'shi 启动石
'zhi'zao'shi 制造石
'qi'dong'shi'sui'pian 启动石碎片
'zhi'zao'shi'sui'pian 制造石碎片
'he'cheng'yong'qi'dong'shi 合成用启动石
'he'cheng'shi 合成石
'ding'xiang'shi 定向石
'huo'dong'bao'gao 活动报告
'jing'yan'shu 经验书
'qiang'hua'zhu 强化珠
'wu'qi'zhu'zi 武器珠子
'tan'huan 弹簧
'zhuan'wu'cai'liao 专武材料
'zhan'tu'bi'ji 战术笔记
'ao'mi'zhi'shu 奥秘之书
'zhuang'bei 装备
'ai'yong'pin 爱用品
'li'wu 礼物
'da'jue'zhan 大决战
'zong'li'zhan 总力战
'zhan'tu'dui'kang'sai 战术对抗赛
'zong'he'zhan'tu'ce'shi 综合战术测试
'he'tong'huo'li'yan'xi 合同火力演习
'zong'he'huo'li'kao'shi 综合火力考试
'yi'zhi'jie'chu'jue'zhan 制约解除决战
'ren'wu 任务
'gu'shi 故事
'xuan'shang'tong'ji 悬赏通缉
'te'bie'wei'tuo 特别委托
'xue'yuan'jiao'liu'hui 学院交流会
'jiu'lan'yi'jin 九蓝一金
'yue'dui 乐队
'ou'xiang 偶像
'yong'zhuang 泳装
'zheng'yue 正月
'ti'cao'fu 体操服
'li'fu 礼服
'yue'tuan 乐团
'xin'nian 新年
'ye'wai'zhan 野外战
'shi'nei'zhan 室内战
'jie'qu'zhan 街区战
'shu'chu 输出
'tan'ke 坦克
'zhi'liao 治疗
'fu'zhu 辅助
'bao'fa 爆发
'guan'chuan 贯穿
'shen'mi 神秘
'zhen'dong 振动
'qing'zhuang'jia 轻装甲
'zhong'zhuang'jia 重装甲
'te'shu'zhuang'jia 特殊装甲
'dan'li'zhuang'jia 弹力装甲
'ti'li 体力
'gong'ji'li 攻击力
'fang'yu'li 防御力
'zhi'liao'li 治疗力
'ming'zhong'zhi 命中值
'shan'bi'zhi 闪避值
'bao'ji'zhi 暴击值
'bao'ji'shang'hai 暴击伤害
'fang'yu'guan'chuan'zhi 防御贯穿值
'wen'ding'zhi 稳定值
'pu'tong'gong'ji'she'cheng 普通攻击射程
'xu'neng'zhi'hui'fu 蓄能值恢复力
'qun'kong'qiang'hua 群控强化
'qun'kong'di'kang 群控抵抗
'bi'sha'ji'neng 必杀技能
'ji'chu'ji'neng 基础技能
'bei'dong'ji'neng 被动技能
'fu'zhu'ji'neng 辅助技能
'bi'na 比纳
'qie'sai'de 切赛德
'bai'hei 白黑
'xi'luo'ni'mu'si 希罗尼穆斯
'pei'luo'luo'si'la 佩洛洛斯拉
'hui'zhuan'zhe 回转者
'hui'zhuan 回转
'huo'de 霍德
'ge'zi 格兹
'e'wo'lve 额我略
'mu'zhu'shi 母猪石
'chi'jing 吃井
'yi'dan 一单
'zhuan'wu 专武
'ai'yong'pin 爱用品
'shui 水
'chun 春
'ti 体
'li 礼
'jing 井
'mu 母
